Comment_ID,Comment_Text,Length
1,"Paid partnership
Original audio",31
2,"zero2sudo
 Edited
â€¢
6w
Commissioned by @notionhq, ""Notion"" for my Resume Tailoring Guide ðŸ”— I created this workspace with Notion Agents to help you edit your resume for each job application. You can find it in my IG story or bio.

Some of my most successful followers this year have been tailoring their resumes for every internship, and I built this Notion resume management tool for you to easily do the same and keep track of your resumes.

Turn on story notifications to get updates on resumes that successfully landed 2026 internshipsâ€”including resumes from non-target school students and international students.

Share this with your friends and family so they don't get left behind. And leave your feedback in the comments!

#notionpartner #notionagent #softwareengineer #sweintern #notioninterns #ucberkeley #neu #fiu #csmajor",833
3,How useful is tailoring your resume for companies like Meta (where you submit your resume for the job posting but also have a resume on your profile that they tell you to keep updated) Is it better to update the main profile resume with each new tailored resume or just keep your main profile resume the same?,309
4,View all 1 replies,18
5,"Resume system is ðŸ”¥, really useful as a first time freshman",58
6,For amazon do you think we should mention what events we attended on our resume?,80
7,sparklejumpropequeen2703,24
8,any info on datadog process?,28
9,cai___latte,11
10,"Just got interview for msoft APPLIED SCIENCE intern, any idea what the interview would look like?",97
11,"Google is coming to UVA tomorrow and Thursday. Office hours, workshops and resume reviews",89
12,alokswaminathan,15
13,"I applied 2028 grad to googles prev internships, but my plans have changed and I want to do 2027 grad + 1 year masters now
Is there any way I can update google so I can apply to their new swe drop as well?",205
14,Thatâ€™s fireðŸ”¥ Definitely gonna use this,38
15,maria_gomez_tres,16
16,can you resend the bloomberg new york public link internship?,61
17,View all 2 replies,18
18,alaricvarghese,14
19,"Hey, is the notion link down again? I still canâ€™t manage to duplicate it properly. Thanks",89
20,View all 5 replies,18
21,shayan.islam,12
22,Does adding the soft skills really help w ur resume or is it mainly about the hard technical skills,99
23,skeethboddu,11
24,mauricioprietto,15
25,motwani.ishaan,14
26,aymanmahfuz05,13
27,Is the best strategy to maximize your chances at FAANG level companies still to apply as early as possible?,107
28,September 30,12
29,Consumer Health Privacy,23
30,Instagram Lite,14
31,Meta AI Articles,16
32,Contact Uploading & Non-Users,29
33,Meta Verified,13
34,Â© 2025 Instagram from Meta,26
35,Notifications,13
36,Also from Meta,14
